// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0,40017,100
0,40002,250
0,40003,500
0,40006,250
0,40007,450

1,40017,100
1,12004,5
1,12005,10
1,12006,15
1,12007,15
1,12008,10
1,12009,10
1,12010,10
1,12011,10
1,12012,10
1,12013,10
1,12014,10
1,12015,10

3,13953,900
3,13659,1500
3,13660,1500
3,13777,2000
3,13663,1500
3,13780,1500
3,14242,900
3,14243,900
3,14244,900
3,14245,900
3,14246,900
3,14247,900
3,14248,900
3,14249,900
3,14250,900
3,14251,900

4,5343,3000
4,5531,3000
4,5135,4000
4,5293,3000
4,5462,3000
4,5592,3000
4,5500,3000
4,5393,3000
4,5371,3000
4,5609,4000
4,5396,3000
4,5305,4000
4,5658,4000
4,5421,4000
4,5341,3000
4,5276,2500
4,5292,3000
4,5377,5000
4,5776,3000
4,5334,3000
4,5132,3000
4,5258,2000
4,5800,6000
4,5140,3000
4,5403,2500
4,5321,3000
4,5767,5000
4,5463,2000
4,18612,3000
4,18613,3000
4,18642,2000
4,18643,2000
4,18644,2000
4,18818,1500
4,5594,3000
4,5137,5000
4,5227,3000
4,5389,3000
4,5564,4000
4,5379,4000
4,5789,3000
4,5230,1000
4,5231,1000
4,5232,1000
4,5233,1000
4,5234,1000
4,5508,1500
4,5362,3000
4,2765,950
4,2766,950
4,2767,950
4,2768,950
4,2769,950
4,2770,950
4,2770,950
4,5336,950
4,5337,950
4,5338,950
4,5339,950
4,5346,950
4,5474,600
4,5530,600
4,18571,3000
4,5388,3000
4,5214,3000
4,5213,3000
4,5151,3000
4,5410,3000
4,5311,3000
4,5795,3000
4,5667,600
4,5286,4000
4,5358,1500
4,5359,3000
4,5325,4000
4,5254,3000
4,5770,3000
4,18861,3000
4,5315,3000
4,5490,4000

5,6417,50
5,12909,250
5,13500,300
5,13905,800
5,13717,300
5,13738,200
5,13739,300
5,17126,300

7,12911,5000
7,13870,2000
7,14289,2000
7,14290,400


